--------------------2024-May-21 07:50:09------------------------------------
2024-May-21 09:19:36 |BANKNIFTY24522-47800-48200CE |TRDPARITY:125 |QTY:1 |ParityWas:115 |OpnCls:2 |OrdNumL1:1500000003173833 |OrdNumL2:1500000003173926 |OrdNumL3:1700000003262029 |OrdNumL4:1700000003262031 |M2M:2502.45
2024-May-21 09:19:36 |BANKNIFTY24522-47800-48200CE |TRDPARITY:45 |QTY:1 |ParityWas:115 |OpnCls:2 |OrdNumL1:1500000003174028 |OrdNumL2:1500000003174131 |OrdNumL3:1700000003262155 |OrdNumL4:1700000003262156 |M2M:2489.85
2024-May-21 09:19:36 |BANKNIFTY24522-47800-48200CE |TRDPARITY:115 |QTY:1 |ParityWas:115 |OpnCls:2 |OrdNumL1:1500000003174767 |OrdNumL2:1500000003174970 |OrdNumL3:1700000003263101 |OrdNumL4:1700000003263102 |M2M:2487.75
2024-May-21 09:19:38 |BANKNIFTY24522-47800-48200CE |TRDPARITY:115 |QTY:1 |ParityWas:115 |OpnCls:2 |OrdNumL1:1500000003209660 |OrdNumL2:1500000003209690 |OrdNumL3:1700000003298488 |OrdNumL4:1700000003298489 |M2M:2485.65
2024-May-21 09:19:38 |BANKNIFTY24522-47800-48200CE |TRDPARITY:105 |QTY:1 |ParityWas:115 |OpnCls:2 |OrdNumL1:1500000003210252 |OrdNumL2:1500000003210381 |OrdNumL3:1700000003299160 |OrdNumL4:1700000003299161 |M2M:2482.05
2024-May-21 09:19:39 |BANKNIFTY24522-47900-48200CE |TRDPARITY:115 |QTY:1 |ParityWas:115 |OpnCls:2 |OrdNumL1:1600000003154817 |OrdNumL2:1500000003234825 |OrdNumL3:1700000003322962 |OrdNumL4:1800000003257767 |M2M:2481.15
2024-May-21 09:19:51 |BANKNIFTY24522-47800-48200CE |TRDPARITY:100 |QTY:1 |ParityWas:115 |OpnCls:2 |OrdNumL1:1500000003388148 |OrdNumL2:1500000003388179 |OrdNumL3:1700000003477709 |OrdNumL4:1700000003477711 |M2M:2476.80
2024-May-21 09:19:53 |BANKNIFTY24522-47800-48200CE |TRDPARITY:90 |QTY:1 |ParityWas:115 |OpnCls:2 |OrdNumL1:1500000003414509 |OrdNumL2:1500000003414740 |OrdNumL3:1700000003503721 |OrdNumL4:1700000003503723 |M2M:2470.95
2024-May-21 09:19:54 |BANKNIFTY24522-47800-48200CE |TRDPARITY:115 |QTY:1 |ParityWas:115 |OpnCls:2 |OrdNumL1:1500000003428731 |OrdNumL2:1500000003428739 |OrdNumL3:1700000003517735 |OrdNumL4:1700000003517736 |M2M:2468.85
2024-May-21 09:19:54 |BANKNIFTY24522-47800-48200CE |TRDPARITY:120 |QTY:1 |ParityWas:115 |OpnCls:2 |OrdNumL1:1500000003429455 |OrdNumL2:1500000003429581 |OrdNumL3:1700000003518683 |OrdNumL4:1700000003518684 |M2M:2467.50
2024-May-21 09:20:01 |BANKNIFTY24522-47800-48200CE |TRDPARITY:115 |QTY:1 |ParityWas:115 |OpnCls:2 |OrdNumL1:1500000003528593 |OrdNumL2:1500000003528626 |OrdNumL3:1700000003617323 |OrdNumL4:1700000003617325 |M2M:2465.40
2024-May-21 09:20:01 |BANKNIFTY24522-47800-48200CE |TRDPARITY:100 |QTY:1 |ParityWas:115 |OpnCls:2 |OrdNumL1:1500000003539635 |OrdNumL2:1500000003539661 |OrdNumL3:1700000003629334 |OrdNumL4:1700000003629335 |M2M:2461.05
2024-May-21 09:20:02 |BANKNIFTY24522-49000-48200PE |TRDPARITY:260 |QTY:1 |ParityWas:295 |OpnCls:1 |OrdNumL1:1700000003641707 |OrdNumL2:1700000003641720 |OrdNumL3:1500000003550020 |OrdNumL4:1500000003550021 |M2M:2481.45
2024-May-21 09:20:13 |BANKNIFTY24522-47500-48200CE |TRDPARITY:135 |QTY:2 |ParityWas:120 |OpnCls:2 |OrdNumL1:1600000003628354 |OrdNumL2:1500000003703701 |OrdNumL3:1700000003810339 |OrdNumL4:1800000003723017 |M2M:2474.85
2024-May-21 09:20:19 |BANKNIFTY24522-47900-48200CE |TRDPARITY:115 |QTY:1 |ParityWas:115 |OpnCls:2 |OrdNumL1:1600000003708025 |OrdNumL2:1500000003785134 |OrdNumL3:1700000003892765 |OrdNumL4:1800000003803169 |M2M:2473.95
2024-May-21 09:20:20 |BANKNIFTY24522-47800-48200CE |TRDPARITY:115 |QTY:1 |ParityWas:115 |OpnCls:2 |OrdNumL1:1500000003791104 |OrdNumL2:1500000003791243 |OrdNumL3:1700000003899461 |OrdNumL4:1700000003899462 |M2M:2471.85
