--------------------2024-May-21 07:50:05------------------------------------
2024-May-21 09:23:19 |NIFTY24523-22000-22550CE |TRDPARITY:55 |QTY:2 |ParityWas:40 |OpnCls:2 |OrdNumL1:1000000004220729 |OrdNumL2:1100000004394662 |OrdNumL3:2100000004385514 |OrdNumL4:2000000004627587 |M2M:1497.75
2024-May-21 09:23:56 |NIFTY24523-22000-22550CE |TRDPARITY:60 |QTY:2 |ParityWas:40 |OpnCls:2 |OrdNumL1:1000000004436082 |OrdNumL2:1100000004614550 |OrdNumL3:2100000004607777 |OrdNumL4:2000000004859314 |M2M:1477.25
2024-May-21 09:24:05 |NIFTY24523-22000-22550CE |TRDPARITY:45 |QTY:1 |ParityWas:40 |OpnCls:2 |OrdNumL1:1000000004507323 |OrdNumL2:1100000004684836 |OrdNumL3:2100000004678498 |OrdNumL4:2000000004934136 |M2M:1463.25
2024-May-21 09:24:22 |FINNIFTY24521-21350-21500CE |TRDPARITY:35 |QTY:2 |ParityWas:35 |OpnCls:2 |OrdNumL1:1200000013754675 |OrdNumL2:1200000013755966 |OrdNumL3:1900000012071538 |OrdNumL4:1900000012071539 |M2M:1463.25
2024-May-21 09:24:26 |NIFTY24523-22000-22550CE |TRDPARITY:45 |QTY:1 |ParityWas:40 |OpnCls:2 |OrdNumL1:1000000004633541 |OrdNumL2:1100000004808474 |OrdNumL3:2100000004809828 |OrdNumL4:2000000005071589 |M2M:1449.25
2024-May-21 09:24:43 |FINNIFTY24521-21350-21500CE |TRDPARITY:45 |QTY:2 |ParityWas:35 |OpnCls:2 |OrdNumL1:1200000014162781 |OrdNumL2:1200000014163529 |OrdNumL3:1900000012406946 |OrdNumL4:1900000012406948 |M2M:1466.05
2024-May-21 09:24:43 |FINNIFTY24521-21350-21550CE |TRDPARITY:50 |QTY:2 |ParityWas:40 |OpnCls:2 |OrdNumL1:1200000014162782 |OrdNumL2:1200000014163539 |OrdNumL3:1900000012406950 |OrdNumL4:1900000012406954 |M2M:1466.05
2024-May-21 09:24:47 |NIFTY24523-22000-22550CE |TRDPARITY:55 |QTY:4 |ParityWas:40 |OpnCls:2 |OrdNumL1:1000000004749536 |OrdNumL2:1100000004920063 |OrdNumL3:2100000004928898 |OrdNumL4:2000000005195372 |M2M:1420.05
2024-May-21 09:24:51 |NIFTY24523-22750-22500PE |TRDPARITY:80 |QTY:1 |ParityWas:80 |OpnCls:2 |OrdNumL1:2100000004954603 |OrdNumL2:2100000004954614 |OrdNumL3:1100000004944440 |OrdNumL4:1100000004944441 |M2M:1423.30
2024-May-21 09:24:52 |NIFTY24523-22000-22550CE |TRDPARITY:32 |QTY:4 |ParityWas:40 |OpnCls:2 |OrdNumL1:1000000004778211 |OrdNumL2:1100000004949555 |OrdNumL3:2100000004959316 |OrdNumL4:2000000005227604 |M2M:1354.30
2024-May-21 09:24:57 |FINNIFTY24521-21350-21500CE |TRDPARITY:55 |QTY:2 |ParityWas:35 |OpnCls:2 |OrdNumL1:1200000014417899 |OrdNumL2:1200000014418216 |OrdNumL3:1900000012621939 |OrdNumL4:1900000012621942 |M2M:1370.30
2024-May-21 09:25:19 |NIFTY24523-22000-22500CE |TRDPARITY:45 |QTY:4 |ParityWas:35 |OpnCls:2 |OrdNumL1:1000000005003958 |OrdNumL2:1100000005182584 |OrdNumL3:2100000005183937 |OrdNumL4:2000000005464346 |M2M:1318.30
2024-May-21 09:25:28 |NIFTY24523-22000-22550CE |TRDPARITY:40 |QTY:1 |ParityWas:40 |OpnCls:2 |OrdNumL1:1000000005067820 |OrdNumL2:1100000005247614 |OrdNumL3:2100000005252432 |OrdNumL4:2000000005537125 |M2M:1303.05
2024-May-21 09:25:34 |NIFTY24523-22000-22550CE |TRDPARITY:40 |QTY:4 |ParityWas:40 |OpnCls:2 |OrdNumL1:1000000005107070 |OrdNumL2:1100000005286393 |OrdNumL3:2100000005295527 |OrdNumL4:2000000005581925 |M2M:1242.05
2024-May-21 09:25:43 |FINNIFTY24521-21550-21450PE |TRDPARITY:35 |QTY:1 |ParityWas:30 |OpnCls:2 |OrdNumL1:1900000013538605 |OrdNumL2:1900000013538778 |OrdNumL3:1200000015403470 |OrdNumL4:1200000015403472 |M2M:1244.05
2024-May-21 09:25:47 |NIFTY24523-22000-22550CE |TRDPARITY:45 |QTY:2 |ParityWas:40 |OpnCls:2 |OrdNumL1:1000000005181557 |OrdNumL2:1100000005361203 |OrdNumL3:2100000005376530 |OrdNumL4:2000000005669341 |M2M:1216.05
