--------------------2024-May-21 07:54:07------------------------------------
2024-May-21 09:55:15 |BANKNIFTY24522-48100-48000PE |TRDPARITY:113 |QTY:2 |ParityWas:115 |OpnCls:2 |OrdNumL1:1800000028512746 |OrdNumL2:1700000029343128 |OrdNumL3:1500000029699269 |OrdNumL4:1600000028430375 |M2M:-152.85
2024-May-21 09:55:15 |BANKNIFTY24522-48500-48000PE |TRDPARITY:-385 |QTY:2 |ParityWas:130 |OpnCls:2 |OrdNumL1:1800000028513659 |OrdNumL2:1700000029343597 |OrdNumL3:1500000029699823 |OrdNumL4:1600000028430903 |M2M:-307.95
2024-May-21 09:55:15 |BANKNIFTY24522-48500-47900PE |TRDPARITY:465 |QTY:2 |ParityWas:145 |OpnCls:2 |OrdNumL1:1800000028516606 |OrdNumL2:1800000028516664 |OrdNumL3:1600000028431824 |OrdNumL4:1600000028431825 |M2M:-209.55
2024-May-21 09:55:15 |BANKNIFTY24522-48600-47900PE |TRDPARITY:215 |QTY:2 |ParityWas:160 |OpnCls:2 |OrdNumL1:1700000029346069 |OrdNumL2:1800000028517263 |OrdNumL3:1600000028431985 |OrdNumL4:1500000029701283 |M2M:-190.65
2024-May-21 09:55:15 |BANKNIFTY24522-48500-47900PE |TRDPARITY:45 |QTY:2 |ParityWas:145 |OpnCls:2 |OrdNumL1:1800000028516771 |OrdNumL2:1800000028517288 |OrdNumL3:1600000028431996 |OrdNumL4:1600000028431997 |M2M:-218.25
2024-May-21 09:55:15 |BANKNIFTY24522-48500-48000PE |TRDPARITY:442 |QTY:2 |ParityWas:135 |OpnCls:2 |OrdNumL1:1800000028517527 |OrdNumL2:1700000029347610 |OrdNumL3:1500000029701874 |OrdNumL4:1600000028432477 |M2M:-126.45
2024-May-21 09:55:15 |BANKNIFTY24522-48500-48100PE |TRDPARITY:795 |QTY:1 |ParityWas:130 |OpnCls:2 |OrdNumL1:1800000028518353 |OrdNumL2:1800000028518379 |OrdNumL3:1600000028432500 |OrdNumL4:1600000028432501 |M2M:-27.15
2024-May-21 09:55:15 |BANKNIFTY24522-47500-48100CE |TRDPARITY:173 |QTY:2 |ParityWas:150 |OpnCls:2 |OrdNumL1:1600000028433058 |OrdNumL2:1600000028433229 |OrdNumL3:1800000028519640 |OrdNumL4:1800000028519641 |M2M:-16.95
2024-May-21 09:55:16 |BANKNIFTY24522-48300-48000PE |TRDPARITY:170 |QTY:2 |ParityWas:125 |OpnCls:2 |OrdNumL1:1800000028538975 |OrdNumL2:1700000029369042 |OrdNumL3:1500000029718736 |OrdNumL4:1600000028448289 |M2M:32.55
2024-May-21 09:55:16 |BANKNIFTY24522-48300-48100PE |TRDPARITY:225 |QTY:2 |ParityWas:125 |OpnCls:2 |OrdNumL1:1800000028538977 |OrdNumL2:1800000028539058 |OrdNumL3:1600000028448291 |OrdNumL4:1600000028448292 |M2M:32.55
