--------------------2024-May-21 07:45:05------------------------------------
2024-May-21 09:16:30 |FINNIFTY24521-21250-21550CE |TRDPARITY:90 |QTY:2 |ParityWas:90 |OpnCls:1 |OrdNumL1:1200000002374729 |OrdNumL2:1200000002374890 |OrdNumL3:1900000002184542 |OrdNumL4:1900000002184543 |M2M:1518.40
2024-May-21 09:16:30 |FINNIFTY24521-21300-21550CE |TRDPARITY:-15 |QTY:1 |ParityWas:50 |OpnCls:1 |OrdNumL1:1200000002374733 |OrdNumL2:1200000002374897 |OrdNumL3:1900000002184546 |OrdNumL4:1900000002184549 |M2M:1500.80
2024-May-21 09:16:37 |FINNIFTY24521-21550-21500PE |TRDPARITY:45 |QTY:1 |ParityWas:40 |OpnCls:2 |OrdNumL1:1900000002325702 |OrdNumL2:1900000002325724 |OrdNumL3:1200000002511901 |OrdNumL4:1200000002511902 |M2M:1506.80
2024-May-21 09:16:37 |FINNIFTY24521-21550-21500PE |TRDPARITY:15 |QTY:1 |ParityWas:40 |OpnCls:2 |OrdNumL1:1900000002330311 |OrdNumL2:1900000002330334 |OrdNumL3:1200000002516331 |OrdNumL4:1200000002516332 |M2M:1500.80
2024-May-21 09:16:38 |FINNIFTY24521-21550-21500PE |TRDPARITY:15 |QTY:1 |ParityWas:40 |OpnCls:2 |OrdNumL1:1900000002347078 |OrdNumL2:1900000002347133 |OrdNumL3:1200000002532624 |OrdNumL4:1200000002532625 |M2M:1494.80
2024-May-21 09:16:40 |BANKNIFTY24522-47200-48200CE |TRDPARITY:213 |QTY:4 |ParityWas:215 |OpnCls:2 |OrdNumL1:1500000000975888 |OrdNumL2:1500000000976618 |OrdNumL3:1700000000980566 |OrdNumL4:1700000000980568 |M2M:1506.20
2024-May-21 09:16:45 |BANKNIFTY24522-49000-48000PE |TRDPARITY:290 |QTY:4 |ParityWas:285 |OpnCls:1 |OrdNumL1:1700000001026737 |OrdNumL2:1700000001027321 |OrdNumL3:1500000001022230 |OrdNumL4:1500000001022233 |M2M:1609.40
2024-May-21 09:17:01 |FINNIFTY24521-21450-21500CE |TRDPARITY:35 |QTY:1 |ParityWas:35 |OpnCls:2 |OrdNumL1:1200000003016510 |OrdNumL2:1200000003016646 |OrdNumL3:1900000002787026 |OrdNumL4:1900000002787027 |M2M:1612.20
2024-May-21 09:17:04 |FINNIFTY24521-21600-21450PE |TRDPARITY:70 |QTY:1 |ParityWas:65 |OpnCls:1 |OrdNumL1:1900000002878532 |OrdNumL2:1900000002879082 |OrdNumL3:1200000003113572 |OrdNumL4:1200000003113576 |M2M:1630.20
2024-May-21 09:17:05 |FINNIFTY24521-21400-21500CE |TRDPARITY:50 |QTY:3 |ParityWas:60 |OpnCls:1 |OrdNumL1:1200000003139062 |OrdNumL2:1200000003139093 |OrdNumL3:1900000002907079 |OrdNumL4:1900000002907081 |M2M:1659.00
2024-May-21 09:17:07 |BANKNIFTY24522-49000-48000PE |TRDPARITY:350 |QTY:2 |ParityWas:285 |OpnCls:1 |OrdNumL1:1700000001291983 |OrdNumL2:1700000001292877 |OrdNumL3:1500000001274192 |OrdNumL4:1500000001274193 |M2M:1728.60
2024-May-21 09:17:07 |FINNIFTY24521-21400-21450CE |TRDPARITY:55 |QTY:3 |ParityWas:55 |OpnCls:1 |OrdNumL1:1200000003195890 |OrdNumL2:1200000003195961 |OrdNumL3:1900000002964195 |OrdNumL4:1900000002964197 |M2M:1762.20
2024-May-21 09:17:09 |FINNIFTY24521-21400-21550CE |TRDPARITY:58 |QTY:3 |ParityWas:65 |OpnCls:1 |OrdNumL1:1200000003239587 |OrdNumL2:1200000003241240 |OrdNumL3:1900000003008632 |OrdNumL4:1900000003008634 |M2M:1800.60
2024-May-21 09:17:09 |BANKNIFTY24522-48400-48000PE |TRDPARITY:193 |QTY:4 |ParityWas:160 |OpnCls:1 |OrdNumL1:1700000001324382 |OrdNumL2:1700000001324442 |OrdNumL3:1500000001303797 |OrdNumL4:1500000001303798 |M2M:1856.40
2024-May-21 09:17:10 |FINNIFTY24521-21400-21450CE |TRDPARITY:49 |QTY:3 |ParityWas:55 |OpnCls:1 |OrdNumL1:1200000003259856 |OrdNumL2:1200000003259919 |OrdNumL3:1900000003029613 |OrdNumL4:1900000003029614 |M2M:1882.80
2024-May-21 09:17:11 |FINNIFTY24521-21400-21450CE |TRDPARITY:55 |QTY:3 |ParityWas:55 |OpnCls:1 |OrdNumL1:1200000003275275 |OrdNumL2:1200000003275553 |OrdNumL3:1900000003047992 |OrdNumL4:1900000003047994 |M2M:1916.40
2024-May-21 09:17:11 |FINNIFTY24521-21400-21450CE |TRDPARITY:55 |QTY:3 |ParityWas:55 |OpnCls:1 |OrdNumL1:1200000003276314 |OrdNumL2:1200000003276384 |OrdNumL3:1900000003048826 |OrdNumL4:1900000003048828 |M2M:1950.00
2024-May-21 09:17:13 |FINNIFTY24521-21400-21450CE |TRDPARITY:55 |QTY:3 |ParityWas:55 |OpnCls:1 |OrdNumL1:1200000003316166 |OrdNumL2:1200000003316661 |OrdNumL3:1900000003088632 |OrdNumL4:1900000003088633 |M2M:1983.60
2024-May-21 09:17:13 |FINNIFTY24521-21400-21450CE |TRDPARITY:60 |QTY:3 |ParityWas:55 |OpnCls:1 |OrdNumL1:1200000003321916 |OrdNumL2:1200000003322682 |OrdNumL3:1900000003095118 |OrdNumL4:1900000003095121 |M2M:2023.20
