--------------------2024-May-21 07:52:08------------------------------------
2024-May-21 09:15:53 |FINNIFTY24521-21200-21450CE |TRDPARITY:70 |QTY:1 |ParityWas:65 |OpnCls:2 |OrdNumL1:1200000001519533 |OrdNumL2:1200000001519613 |OrdNumL3:1900000001402295 |OrdNumL4:1900000001402296 |M2M:1658.20
2024-May-21 09:15:55 |FINNIFTY24521-21300-21450CE |TRDPARITY:55 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000001558205 |OrdNumL2:1200000001559641 |OrdNumL3:1900000001432993 |OrdNumL4:1900000001432994 |M2M:1662.60
2024-May-21 09:15:56 |FINNIFTY24521-21300-21550CE |TRDPARITY:45 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000001590324 |OrdNumL2:1200000001590583 |OrdNumL3:1900000001462374 |OrdNumL4:1900000001462375 |M2M:1661.40
2024-May-21 09:15:56 |FINNIFTY24521-21300-21550CE |TRDPARITY:50 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000001599257 |OrdNumL2:1200000001599331 |OrdNumL3:1900000001470383 |OrdNumL4:1900000001470384 |M2M:1668.60
2024-May-21 09:15:56 |FINNIFTY24521-21300-21450CE |TRDPARITY:60 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000001599259 |OrdNumL2:1200000001599332 |OrdNumL3:1900000001470386 |OrdNumL4:1900000001470387 |M2M:1668.60
2024-May-21 09:15:56 |FINNIFTY24521-21300-21550CE |TRDPARITY:45 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000001600112 |OrdNumL2:1200000001600145 |OrdNumL3:1900000001471007 |OrdNumL4:1900000001471010 |M2M:1667.40
2024-May-21 09:15:57 |FINNIFTY24521-21200-21550CE |TRDPARITY:60 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:1200000001603992 |OrdNumL2:1200000001605128 |OrdNumL3:1900000001475547 |OrdNumL4:1900000001475548 |M2M:1667.40
2024-May-21 09:15:58 |FINNIFTY24521-21200-21550CE |TRDPARITY:60 |QTY:2 |ParityWas:60 |OpnCls:2 |OrdNumL1:1200000001626930 |OrdNumL2:1200000001627000 |OrdNumL3:1900000001495714 |OrdNumL4:1900000001495715 |M2M:1667.40
2024-May-21 09:15:59 |FINNIFTY24521-21200-21550CE |TRDPARITY:37 |QTY:2 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000001667107 |OrdNumL2:1200000001668230 |OrdNumL3:1900000001538327 |OrdNumL4:1900000001538328 |M2M:1650.60
2024-May-21 09:16:01 |FINNIFTY24521-21300-21500CE |TRDPARITY:45 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000001725692 |OrdNumL2:1200000001725836 |OrdNumL3:1900000001583931 |OrdNumL4:1900000001583932 |M2M:1651.00
2024-May-21 09:16:01 |FINNIFTY24521-21300-21550CE |TRDPARITY:40 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000001725693 |OrdNumL2:1200000001726353 |OrdNumL3:1900000001584366 |OrdNumL4:1900000001584367 |M2M:1648.60
2024-May-21 09:16:04 |NIFTY24MAY-22200-22500CE |TRDPARITY:335 |QTY:2 |ParityWas:290 |OpnCls:1 |OrdNumL1:1200000001788393 |OrdNumL2:1200000001813363 |OrdNumL3:1200000001813366 |OrdNumL4:1200000001813369 |M2M:1771.60
2024-May-21 09:16:04 |FINNIFTY24521-21200-21550CE |TRDPARITY:70 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000001814132 |OrdNumL2:1200000001816074 |OrdNumL3:1900000001657096 |OrdNumL4:1900000001657099 |M2M:1776.40
2024-May-21 09:16:08 |MIDCPNIFTY24MAY-11100-11350CE |TRDPARITY:140 |QTY:1 |ParityWas:120 |OpnCls:1 |OrdNumL1:1400000000281962 |OrdNumL2:1400000000283041 |OrdNumL3:1300000000188048 |OrdNumL4:1300000000188049 |M2M:1846.90
2024-May-21 09:16:09 |FINNIFTY24521-21200-21500CE |TRDPARITY:65 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000001941999 |OrdNumL2:1200000001942064 |OrdNumL3:1900000001785196 |OrdNumL4:1900000001785197 |M2M:1850.50
2024-May-21 09:16:10 |FINNIFTY24521-21200-21550CE |TRDPARITY:67 |QTY:2 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000001940720 |OrdNumL2:1200000001953931 |OrdNumL3:1900000001798304 |OrdNumL4:1900000001798305 |M2M:1857.70
