--------------------2024-May-21 07:52:07------------------------------------
2024-May-21 09:55:15 |BANKNIFTY24MAY-49500-48000PE |TRDPARITY:-910 |QTY:2 |ParityWas:250 |OpnCls:2 |OrdNumL1:1400000017797820 |OrdNumL2:1400000017802324 |OrdNumL3:1400000017802325 |OrdNumL4:1400000017802326 |M2M:-20607.60
2024-May-21 09:55:15 |BANKNIFTY24522-48400-48100PE |TRDPARITY:-2682 |QTY:2 |ParityWas:145 |OpnCls:2 |OrdNumL1:1700000029331740 |OrdNumL2:1800000028513120 |OrdNumL3:1600000028429821 |OrdNumL4:1500000029698700 |M2M:-20607.60
2024-May-21 09:55:15 |BANKNIFTY24522-46500-48100CE |TRDPARITY:-2420 |QTY:2 |ParityWas:430 |OpnCls:1 |OrdNumL1:1600000028423585 |OrdNumL2:1600000028429850 |OrdNumL3:1800000028513142 |OrdNumL4:1800000028513145 |M2M:-20607.60
2024-May-21 09:55:15 |BANKNIFTY24522-48800-48100PE |TRDPARITY:-2570 |QTY:2 |ParityWas:165 |OpnCls:2 |OrdNumL1:1700000029332768 |OrdNumL2:1800000028513150 |OrdNumL3:1600000028429858 |OrdNumL4:1500000029698721 |M2M:-20607.60
2024-May-21 09:55:15 |BANKNIFTY24522-48900-48100PE |TRDPARITY:-2445 |QTY:2 |ParityWas:135 |OpnCls:2 |OrdNumL1:1800000028503387 |OrdNumL2:1800000028513153 |OrdNumL3:1600000028429859 |OrdNumL4:1600000028429860 |M2M:-20607.60
2024-May-21 09:55:15 |BANKNIFTY24522-49100-48100PE |TRDPARITY:-2095 |QTY:2 |ParityWas:205 |OpnCls:2 |OrdNumL1:1800000028500969 |OrdNumL2:1800000028513162 |OrdNumL3:1600000028429869 |OrdNumL4:1600000028429871 |M2M:-20607.60
2024-May-21 09:55:15 |BANKNIFTY24522-48700-48100PE |TRDPARITY:-1955 |QTY:2 |ParityWas:150 |OpnCls:2 |OrdNumL1:1800000028505340 |OrdNumL2:1800000028513188 |OrdNumL3:1600000028429919 |OrdNumL4:1600000028429920 |M2M:-20607.60
2024-May-21 09:55:15 |BANKNIFTY24522-47000-48100CE |TRDPARITY:-1960 |QTY:2 |ParityWas:320 |OpnCls:1 |OrdNumL1:1500000029692315 |OrdNumL2:1600000028429873 |OrdNumL3:1800000028513167 |OrdNumL4:1700000029342512 |M2M:-20607.60
2024-May-21 09:55:15 |BANKNIFTY24522-47000-47500CE |TRDPARITY:-2230 |QTY:2 |ParityWas:340 |OpnCls:1 |OrdNumL1:1500000029690930 |OrdNumL2:1600000028429790 |OrdNumL3:1800000028513070 |OrdNumL4:1700000029342432 |M2M:-20607.60
2024-May-21 09:55:15 |BANKNIFTY24522-47200-48100CE |TRDPARITY:-1915 |QTY:2 |ParityWas:270 |OpnCls:1 |OrdNumL1:1500000029694032 |OrdNumL2:1600000028429910 |OrdNumL3:1800000028513183 |OrdNumL4:1700000029342526 |M2M:-20607.60
