--------------------2024-May-21 07:50:05------------------------------------
--------------------2024-May-21 08:38:29------------------------------------
2024-May-21 09:17:28 |FINNIFTY24521-21400-21500CE |TRDPARITY:45 |QTY:1 |ParityWas:60 |OpnCls:1 |OrdNumL1:1200000003636513 |OrdNumL2:1200000003636639 |OrdNumL3:1900000003426595 |OrdNumL4:1900000003426596 |M2M:1829.90
2024-May-21 09:17:28 |FINNIFTY24521-21400-21500CE |TRDPARITY:55 |QTY:1 |ParityWas:60 |OpnCls:1 |OrdNumL1:1200000003638317 |OrdNumL2:1200000003638389 |OrdNumL3:1900000003428624 |OrdNumL4:1900000003428627 |M2M:1842.30
2024-May-21 09:17:29 |FINNIFTY24521-21400-21450CE |TRDPARITY:60 |QTY:1 |ParityWas:55 |OpnCls:1 |OrdNumL1:1200000003651910 |OrdNumL2:1200000003653102 |OrdNumL3:1900000003443552 |OrdNumL4:1900000003443553 |M2M:1856.30
2024-May-21 09:17:29 |FINNIFTY24521-21400-21450CE |TRDPARITY:55 |QTY:1 |ParityWas:55 |OpnCls:1 |OrdNumL1:1200000003654731 |OrdNumL2:1200000003655539 |OrdNumL3:1900000003446191 |OrdNumL4:1900000003446192 |M2M:1868.30
2024-May-21 09:17:30 |FINNIFTY24521-21400-21500CE |TRDPARITY:60 |QTY:1 |ParityWas:60 |OpnCls:1 |OrdNumL1:1200000003678829 |OrdNumL2:1200000003678988 |OrdNumL3:1900000003466116 |OrdNumL4:1900000003466117 |M2M:1882.70
2024-May-21 09:17:32 |FINNIFTY24521-21400-21450CE |TRDPARITY:45 |QTY:1 |ParityWas:55 |OpnCls:1 |OrdNumL1:1200000003712783 |OrdNumL2:1200000003712871 |OrdNumL3:1900000003498496 |OrdNumL4:1900000003498497 |M2M:1890.70
2024-May-21 09:18:07 |FINNIFTY24521-21700-21450PE |TRDPARITY:55 |QTY:2 |ParityWas:50 |OpnCls:1 |OrdNumL1:1900000004245407 |OrdNumL2:1900000004248927 |OrdNumL3:1200000004446871 |OrdNumL4:1200000004446872 |M2M:1909.10
2024-May-21 09:18:11 |FINNIFTY24521-21700-21500PE |TRDPARITY:60 |QTY:1 |ParityWas:50 |OpnCls:1 |OrdNumL1:1900000004361627 |OrdNumL2:1900000004366265 |OrdNumL3:1200000004544584 |OrdNumL4:1200000004544602 |M2M:1919.90
2024-May-21 09:18:25 |BANKNIFTY24522-47500-48100CE |TRDPARITY:110 |QTY:2 |ParityWas:245 |OpnCls:1 |OrdNumL1:1600000002189331 |OrdNumL2:1600000002189891 |OrdNumL3:1800000002265205 |OrdNumL4:1800000002265209 |M2M:1919.90
2024-May-21 09:19:14 |BANKNIFTY24522-47500-48100CE |TRDPARITY:130 |QTY:1 |ParityWas:120 |OpnCls:2 |OrdNumL1:1600000002826199 |OrdNumL2:1600000002826336 |OrdNumL3:1800000002955978 |OrdNumL4:1800000002955979 |M2M:1916.60
2024-May-21 09:19:27 |FINNIFTY24521-21600-21500PE |TRDPARITY:40 |QTY:1 |ParityWas:35 |OpnCls:2 |OrdNumL1:1900000005943450 |OrdNumL2:1900000005943610 |OrdNumL3:1200000006171015 |OrdNumL4:1200000006171016 |M2M:1919.00
2024-May-21 09:19:38 |FINNIFTY24521-21300-21450CE |TRDPARITY:38 |QTY:2 |ParityWas:35 |OpnCls:2 |OrdNumL1:1200000006385595 |OrdNumL2:1200000006385694 |OrdNumL3:1900000006152280 |OrdNumL4:1900000006152281 |M2M:1919.80
2024-May-21 09:19:44 |MIDCPNIFTY24MAY-11075-11300CE |TRDPARITY:155 |QTY:1 |ParityWas:115 |OpnCls:1 |OrdNumL1:1400000001553052 |OrdNumL2:1400000001553187 |OrdNumL3:1300000000962553 |OrdNumL4:1300000000962554 |M2M:2000.80
2024-May-21 09:19:51 |FINNIFTY24521-21350-21450CE |TRDPARITY:30 |QTY:2 |ParityWas:30 |OpnCls:2 |OrdNumL1:1200000006663065 |OrdNumL2:1200000006663181 |OrdNumL3:1900000006413101 |OrdNumL4:1900000006413102 |M2M:1999.20
2024-May-21 09:19:58 |FINNIFTY24521-21350-21450CE |TRDPARITY:45 |QTY:1 |ParityWas:30 |OpnCls:2 |OrdNumL1:1200000006808105 |OrdNumL2:1200000006808751 |OrdNumL3:1900000006541404 |OrdNumL4:1900000006541405 |M2M:2004.40
2024-May-21 09:20:00 |FINNIFTY24521-21300-21450CE |TRDPARITY:50 |QTY:2 |ParityWas:35 |OpnCls:2 |OrdNumL1:1200000006843683 |OrdNumL2:1200000006843791 |OrdNumL3:1900000006574299 |OrdNumL4:1900000006574300 |M2M:2014.80
2024-May-21 09:20:02 |FINNIFTY24521-21300-21450CE |TRDPARITY:40 |QTY:1 |ParityWas:35 |OpnCls:2 |OrdNumL1:1200000006896178 |OrdNumL2:1200000006896477 |OrdNumL3:1900000006625653 |OrdNumL4:1900000006625654 |M2M:2016.00
2024-May-21 09:20:38 |FINNIFTY24521-21450-21500CE |TRDPARITY:-20 |QTY:2 |ParityWas:25 |OpnCls:2 |OrdNumL1:1200000007662301 |OrdNumL2:1200000007663352 |OrdNumL3:1900000007262424 |OrdNumL4:1900000007262425 |M2M:1979.20
2024-May-21 09:20:45 |FINNIFTY24521-21350-21500CE |TRDPARITY:40 |QTY:2 |ParityWas:35 |OpnCls:2 |OrdNumL1:1200000007915091 |OrdNumL2:1200000007915753 |OrdNumL3:1900000007470863 |OrdNumL4:1900000007470865 |M2M:1984.00
2024-May-21 09:20:47 |FINNIFTY24521-21400-21500CE |TRDPARITY:30 |QTY:2 |ParityWas:30 |OpnCls:2 |OrdNumL1:1200000007965495 |OrdNumL2:1200000007965731 |OrdNumL3:1900000007509158 |OrdNumL4:1900000007509159 |M2M:1983.20
2024-May-21 09:20:47 |FINNIFTY24521-21450-21500CE |TRDPARITY:30 |QTY:2 |ParityWas:25 |OpnCls:2 |OrdNumL1:1200000007972716 |OrdNumL2:1200000007973367 |OrdNumL3:1900000007515535 |OrdNumL4:1900000007515536 |M2M:1986.40
2024-May-21 09:20:47 |FINNIFTY24521-21400-21500CE |TRDPARITY:30 |QTY:1 |ParityWas:30 |OpnCls:2 |OrdNumL1:1200000007990329 |OrdNumL2:1200000007990350 |OrdNumL3:1900000007528478 |OrdNumL4:1900000007528480 |M2M:1986.00
2024-May-21 09:20:49 |FINNIFTY24521-21400-21500CE |TRDPARITY:30 |QTY:1 |ParityWas:30 |OpnCls:2 |OrdNumL1:1200000008070115 |OrdNumL2:1200000008070166 |OrdNumL3:1900000007578164 |OrdNumL4:1900000007578165 |M2M:1985.60
2024-May-21 09:20:49 |FINNIFTY24521-21350-21500CE |TRDPARITY:40 |QTY:1 |ParityWas:35 |OpnCls:2 |OrdNumL1:1200000008070114 |OrdNumL2:1200000008070219 |OrdNumL3:1900000007578210 |OrdNumL4:1900000007578211 |M2M:1987.20
2024-May-21 09:21:00 |FINNIFTY24521-21450-21500CE |TRDPARITY:-5 |QTY:2 |ParityWas:25 |OpnCls:2 |OrdNumL1:1200000008418525 |OrdNumL2:1200000008419558 |OrdNumL3:1900000007827709 |OrdNumL4:1900000007827711 |M2M:1962.40
2024-May-21 09:21:00 |FINNIFTY24521-21400-21500CE |TRDPARITY:35 |QTY:2 |ParityWas:30 |OpnCls:2 |OrdNumL1:1200000008441619 |OrdNumL2:1200000008441769 |OrdNumL3:1900000007841080 |OrdNumL4:1900000007841081 |M2M:1965.60
2024-May-21 09:21:01 |FINNIFTY24521-21400-21500CE |TRDPARITY:8 |QTY:2 |ParityWas:30 |OpnCls:2 |OrdNumL1:1200000008458797 |OrdNumL2:1200000008458964 |OrdNumL3:1900000007851635 |OrdNumL4:1900000007851636 |M2M:1947.20
2024-May-21 09:21:10 |FINNIFTY24MAY-21450-21500CE |TRDPARITY:150 |QTY:1 |ParityWas:80 |OpnCls:2 |OrdNumL1:1200000008762602 |OrdNumL2:1200000008804594 |OrdNumL3:1900000008113110 |OrdNumL4:1900000008113111 |M2M:1975.60
2024-May-21 09:21:18 |FINNIFTY24521-21350-21500CE |TRDPARITY:50 |QTY:1 |ParityWas:35 |OpnCls:2 |OrdNumL1:1200000009014789 |OrdNumL2:1200000009014892 |OrdNumL3:1900000008273100 |OrdNumL4:1900000008273101 |M2M:1981.20
2024-May-21 09:21:18 |FINNIFTY24521-21350-21500CE |TRDPARITY:35 |QTY:1 |ParityWas:35 |OpnCls:2 |OrdNumL1:1200000009014930 |OrdNumL2:1200000009014993 |OrdNumL3:1900000008273173 |OrdNumL4:1900000008273174 |M2M:1980.80
2024-May-21 09:21:28 |FINNIFTY24521-21450-21500CE |TRDPARITY:33 |QTY:2 |ParityWas:35 |OpnCls:2 |OrdNumL1:1200000009335861 |OrdNumL2:1200000009336207 |OrdNumL3:1900000008497079 |OrdNumL4:1900000008497080 |M2M:1986.40
2024-May-21 09:21:29 |FINNIFTY24521-21400-21500CE |TRDPARITY:27 |QTY:2 |ParityWas:30 |OpnCls:2 |OrdNumL1:1200000009358573 |OrdNumL2:1200000009358839 |OrdNumL3:1900000008513218 |OrdNumL4:1900000008513219 |M2M:1983.20
2024-May-21 09:21:39 |FINNIFTY24521-21350-21500CE |TRDPARITY:25 |QTY:2 |ParityWas:35 |OpnCls:2 |OrdNumL1:1200000009664099 |OrdNumL2:1200000009664502 |OrdNumL3:1900000008759744 |OrdNumL4:1900000008759745 |M2M:1974.40
2024-May-21 09:21:40 |FINNIFTY24521-21400-21500CE |TRDPARITY:30 |QTY:2 |ParityWas:30 |OpnCls:2 |OrdNumL1:1200000009687394 |OrdNumL2:1200000009687745 |OrdNumL3:1900000008774739 |OrdNumL4:1900000008774740 |M2M:1973.60
2024-May-21 09:21:40 |FINNIFTY24521-21400-21500CE |TRDPARITY:30 |QTY:2 |ParityWas:30 |OpnCls:2 |OrdNumL1:1200000009687752 |OrdNumL2:1200000009687767 |OrdNumL3:1900000008774785 |OrdNumL4:1900000008774786 |M2M:1972.80
2024-May-21 09:21:40 |FINNIFTY24521-21400-21500CE |TRDPARITY:30 |QTY:2 |ParityWas:30 |OpnCls:2 |OrdNumL1:1200000009687783 |OrdNumL2:1200000009687800 |OrdNumL3:1900000008774810 |OrdNumL4:1900000008774811 |M2M:1972.00
