--------------------2024-May-21 07:52:05------------------------------------
--------------------2024-May-21 07:57:06------------------------------------
2024-May-21 09:19:07 |BANKNIFTY24522-47200-48100CE |TRDPARITY:335 |QTY:1 |ParityWas:280 |OpnCls:1 |OrdNumL1:1500000002789298 |OrdNumL2:1600000002723492 |OrdNumL3:1800000002852190 |OrdNumL4:1700000002903468 |M2M:3035.85
2024-May-21 09:19:42 |BANKNIFTY24522-49000-48200PE |TRDPARITY:330 |QTY:1 |ParityWas:280 |OpnCls:1 |OrdNumL1:1700000003365949 |OrdNumL2:1700000003366202 |OrdNumL3:1500000003278566 |OrdNumL4:1500000003278567 |M2M:3067.05
2024-May-21 09:20:26 |FINNIFTY24521-21300-21500CE |TRDPARITY:35 |QTY:1 |ParityWas:35 |OpnCls:2 |OrdNumL1:1200000007386792 |OrdNumL2:1200000007387557 |OrdNumL3:1900000007024458 |OrdNumL4:1900000007024459 |M2M:3065.05
2024-May-21 09:20:35 |FINNIFTY24521-21350-21550CE |TRDPARITY:45 |QTY:1 |ParityWas:30 |OpnCls:2 |OrdNumL1:1200000007566521 |OrdNumL2:1200000007568713 |OrdNumL3:1900000007184587 |OrdNumL4:1900000007184591 |M2M:3065.45
2024-May-21 09:20:35 |FINNIFTY24521-21350-21500CE |TRDPARITY:30 |QTY:1 |ParityWas:30 |OpnCls:2 |OrdNumL1:1200000007567320 |OrdNumL2:1200000007568721 |OrdNumL3:1900000007184601 |OrdNumL4:1900000007184602 |M2M:3065.45
2024-May-21 09:20:37 |FINNIFTY24521-21200-21500CE |TRDPARITY:-35 |QTY:1 |ParityWas:40 |OpnCls:2 |OrdNumL1:1200000007605281 |OrdNumL2:1200000007606259 |OrdNumL3:1900000007213106 |OrdNumL4:1900000007213107 |M2M:3030.65
2024-May-21 09:20:47 |BANKNIFTY24522-48800-48200PE |TRDPARITY:260 |QTY:1 |ParityWas:230 |OpnCls:1 |OrdNumL1:1700000004312131 |OrdNumL2:1700000004312288 |OrdNumL3:1500000004235711 |OrdNumL4:1500000004235712 |M2M:3053.45
2024-May-21 09:20:47 |FINNIFTY24521-21450-21500CE |TRDPARITY:35 |QTY:1 |ParityWas:20 |OpnCls:2 |OrdNumL1:1200000007973418 |OrdNumL2:1200000007974122 |OrdNumL3:1900000007516094 |OrdNumL4:1900000007516097 |M2M:3056.65
2024-May-21 09:21:05 |BANKNIFTY24522-49000-48200PE |TRDPARITY:295 |QTY:1 |ParityWas:270 |OpnCls:1 |OrdNumL1:1700000004599236 |OrdNumL2:1700000004599500 |OrdNumL3:1500000004564399 |OrdNumL4:1500000004564400 |M2M:3083.35
2024-May-21 09:21:11 |FINNIFTY24521-21350-21500CE |TRDPARITY:55 |QTY:1 |ParityWas:30 |OpnCls:2 |OrdNumL1:1200000008801404 |OrdNumL2:1200000008805823 |OrdNumL3:1900000008114247 |OrdNumL4:1900000008114248 |M2M:3090.55
2024-May-21 09:21:13 |FINNIFTY24521-21350-21500CE |TRDPARITY:40 |QTY:1 |ParityWas:30 |OpnCls:2 |OrdNumL1:1200000008883674 |OrdNumL2:1200000008883707 |OrdNumL3:1900000008175310 |OrdNumL4:1900000008175312 |M2M:3091.75
2024-May-21 09:21:18 |FINNIFTY24521-21000-21500CE |TRDPARITY:80 |QTY:1 |ParityWas:40 |OpnCls:2 |OrdNumL1:1200000008983465 |OrdNumL2:1200000009001741 |OrdNumL3:1900000008262928 |OrdNumL4:1900000008262929 |M2M:3091.75
2024-May-21 09:21:23 |FINNIFTY24521-21350-21500CE |TRDPARITY:30 |QTY:1 |ParityWas:30 |OpnCls:2 |OrdNumL1:1200000009135276 |OrdNumL2:1200000009135892 |OrdNumL3:1900000008366372 |OrdNumL4:1900000008366373 |M2M:3088.95
2024-May-21 09:21:28 |FINNIFTY24521-21450-21500CE |TRDPARITY:30 |QTY:1 |ParityWas:20 |OpnCls:2 |OrdNumL1:1200000009335875 |OrdNumL2:1200000009336219 |OrdNumL3:1900000008497081 |OrdNumL4:1900000008497084 |M2M:3086.15
2024-May-21 09:21:28 |FINNIFTY24521-21450-21550CE |TRDPARITY:20 |QTY:1 |ParityWas:25 |OpnCls:2 |OrdNumL1:1200000009335877 |OrdNumL2:1200000009336227 |OrdNumL3:1900000008497088 |OrdNumL4:1900000008497092 |M2M:3086.15
2024-May-21 09:21:32 |FINNIFTY24521-21350-21500CE |TRDPARITY:35 |QTY:1 |ParityWas:30 |OpnCls:2 |OrdNumL1:1200000009448151 |OrdNumL2:1200000009448247 |OrdNumL3:1900000008587347 |OrdNumL4:1900000008587348 |M2M:3085.35
2024-May-21 09:21:34 |FINNIFTY24521-21350-21500CE |TRDPARITY:45 |QTY:1 |ParityWas:30 |OpnCls:2 |OrdNumL1:1200000009513713 |OrdNumL2:1200000009514125 |OrdNumL3:1900000008636492 |OrdNumL4:1900000008636493 |M2M:3088.55
2024-May-21 09:21:34 |FINNIFTY24521-21350-21500CE |TRDPARITY:50 |QTY:1 |ParityWas:30 |OpnCls:2 |OrdNumL1:1200000009514205 |OrdNumL2:1200000009514408 |OrdNumL3:1900000008636831 |OrdNumL4:1900000008636833 |M2M:3093.75
2024-May-21 09:21:39 |FINNIFTY24521-21350-21500CE |TRDPARITY:45 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000009650985 |OrdNumL2:1200000009651006 |OrdNumL3:1900000008749757 |OrdNumL4:1900000008749758 |M2M:3096.95
2024-May-21 09:21:41 |FINNIFTY24521-21350-21550CE |TRDPARITY:25 |QTY:1 |ParityWas:30 |OpnCls:2 |OrdNumL1:1200000009728153 |OrdNumL2:1200000009728794 |OrdNumL3:1900000008804107 |OrdNumL4:1900000008804108 |M2M:3091.35
2024-May-21 09:21:48 |FINNIFTY24521-21350-21500CE |TRDPARITY:15 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000009906816 |OrdNumL2:1200000009908788 |OrdNumL3:1900000008938899 |OrdNumL4:1900000008938900 |M2M:3082.55
2024-May-21 09:21:48 |FINNIFTY24521-21350-21550CE |TRDPARITY:-10 |QTY:1 |ParityWas:30 |OpnCls:2 |OrdNumL1:1200000009908845 |OrdNumL2:1200000009909300 |OrdNumL3:1900000008939559 |OrdNumL4:1900000008939560 |M2M:3044.15
2024-May-21 09:21:48 |FINNIFTY24521-21350-21500CE |TRDPARITY:-10 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000009909052 |OrdNumL2:1200000009909304 |OrdNumL3:1900000008939566 |OrdNumL4:1900000008939568 |M2M:3044.15
2024-May-21 09:21:49 |FINNIFTY24521-21350-21500CE |TRDPARITY:50 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000009953678 |OrdNumL2:1200000009953985 |OrdNumL3:1900000008975298 |OrdNumL4:1900000008975299 |M2M:3049.35
2024-May-21 09:21:49 |FINNIFTY24521-21350-21550CE |TRDPARITY:0 |QTY:1 |ParityWas:30 |OpnCls:2 |OrdNumL1:1200000009953832 |OrdNumL2:1200000009954412 |OrdNumL3:1900000008975789 |OrdNumL4:1900000008975790 |M2M:3021.35
2024-May-21 09:21:49 |FINNIFTY24521-21350-21450CE |TRDPARITY:5 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000009953833 |OrdNumL2:1200000009954422 |OrdNumL3:1900000008975800 |OrdNumL4:1900000008975801 |M2M:3021.35
2024-May-21 09:21:55 |FINNIFTY24521-21100-21500CE |TRDPARITY:140 |QTY:1 |ParityWas:75 |OpnCls:2 |OrdNumL1:1200000010185788 |OrdNumL2:1200000010186479 |OrdNumL3:1900000009150362 |OrdNumL4:1900000009150364 |M2M:3050.95
2024-May-21 09:21:55 |FINNIFTY24521-21100-21450CE |TRDPARITY:55 |QTY:1 |ParityWas:60 |OpnCls:1 |OrdNumL1:1200000010191006 |OrdNumL2:1200000010191299 |OrdNumL3:1900000009154688 |OrdNumL4:1900000009154692 |M2M:3055.75
2024-May-21 09:22:01 |BANKNIFTY24522-47600-48100CE |TRDPARITY:125 |QTY:1 |ParityWas:220 |OpnCls:1 |OrdNumL1:1500000005750158 |OrdNumL2:1600000005650195 |OrdNumL3:1800000005460770 |OrdNumL4:1700000005539270 |M2M:3057.55
2024-May-21 09:22:05 |BANKNIFTY24522-49000-48200PE |TRDPARITY:375 |QTY:1 |ParityWas:265 |OpnCls:1 |OrdNumL1:1700000005616587 |OrdNumL2:1700000005616671 |OrdNumL3:1500000005840637 |OrdNumL4:1500000005840638 |M2M:3096.25
2024-May-21 09:22:08 |FINNIFTY24521-21400-21500CE |TRDPARITY:-110 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1200000010653266 |OrdNumL2:1200000010654687 |OrdNumL3:1900000009538906 |OrdNumL4:1900000009538908 |M2M:3040.25
2024-May-21 09:22:08 |FINNIFTY24521-21350-21450CE |TRDPARITY:125 |QTY:1 |ParityWas:65 |OpnCls:1 |OrdNumL1:1200000010649454 |OrdNumL2:1200000010657447 |OrdNumL3:1900000009541237 |OrdNumL4:1900000009541239 |M2M:3078.65
2024-May-21 09:22:52 |FINNIFTY24521-21200-21500CE |TRDPARITY:55 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1200000011918595 |OrdNumL2:1200000011918832 |OrdNumL3:1900000010542194 |OrdNumL4:1900000010542195 |M2M:3079.05
2024-May-21 09:23:26 |FINNIFTY24521-21200-21500CE |TRDPARITY:60 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1200000012677268 |OrdNumL2:1200000012677314 |OrdNumL3:1900000011164503 |OrdNumL4:1900000011164504 |M2M:3081.45
2024-May-21 09:24:26 |FINNIFTY24521-21000-21550CE |TRDPARITY:140 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000013844460 |OrdNumL2:1200000013856417 |OrdNumL3:1900000012148486 |OrdNumL4:1900000012148487 |M2M:3103.45
2024-May-21 09:24:26 |FINNIFTY24521-21000-21500CE |TRDPARITY:135 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:1200000013848006 |OrdNumL2:1200000013856422 |OrdNumL3:1900000012148499 |OrdNumL4:1900000012148500 |M2M:3124.65
2024-May-21 09:24:28 |FINNIFTY24521-21350-21550CE |TRDPARITY:45 |QTY:1 |ParityWas:30 |OpnCls:2 |OrdNumL1:1200000013887107 |OrdNumL2:1200000013888018 |OrdNumL3:1900000012172363 |OrdNumL4:1900000012172364 |M2M:3127.05
2024-May-21 09:24:43 |FINNIFTY24521-21350-21550CE |TRDPARITY:50 |QTY:1 |ParityWas:30 |OpnCls:2 |OrdNumL1:1200000014159413 |OrdNumL2:1200000014163531 |OrdNumL3:1900000012406945 |OrdNumL4:1900000012406947 |M2M:3131.45
2024-May-21 09:24:44 |FINNIFTY24521-21350-21550CE |TRDPARITY:45 |QTY:1 |ParityWas:30 |OpnCls:2 |OrdNumL1:1200000014183113 |OrdNumL2:1200000014183327 |OrdNumL3:1900000012422747 |OrdNumL4:1900000012422749 |M2M:3133.85
2024-May-21 09:24:45 |FINNIFTY24521-21200-21550CE |TRDPARITY:50 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1200000014209459 |OrdNumL2:1200000014210236 |OrdNumL3:1900000012443728 |OrdNumL4:1900000012443729 |M2M:3130.65
2024-May-21 09:25:00 |FINNIFTY24521-21100-21500CE |TRDPARITY:75 |QTY:1 |ParityWas:55 |OpnCls:1 |OrdNumL1:1200000014482639 |OrdNumL2:1200000014485483 |OrdNumL3:1900000012679219 |OrdNumL4:1900000012679220 |M2M:3145.05
2024-May-21 09:25:37 |FINNIFTY24521-21250-21400CE |TRDPARITY:85 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000015289188 |OrdNumL2:1200000015292089 |OrdNumL3:1900000013423589 |OrdNumL4:1900000013423591 |M2M:3160.65
