--------------------2024-May-21 07:50:09------------------------------------
2024-May-21 09:17:19 |FINNIFTY24521-21400-21500CE |TRDPARITY:70 |QTY:2 |ParityWas:55 |OpnCls:1 |OrdNumL1:1200000003454886 |OrdNumL2:1200000003455162 |OrdNumL3:1900000003242169 |OrdNumL4:1900000003242171 |M2M:2035.15
2024-May-21 09:17:21 |NIFTY24523-22400-22500CE |TRDPARITY:100 |QTY:2 |ParityWas:100 |OpnCls:1 |OrdNumL1:1000000000980235 |OrdNumL2:1100000001051882 |OrdNumL3:2100000000979475 |OrdNumL4:2000000000976330 |M2M:2059.15
2024-May-21 09:17:23 |FINNIFTY24521-21400-21500CE |TRDPARITY:52 |QTY:2 |ParityWas:55 |OpnCls:1 |OrdNumL1:1200000003527417 |OrdNumL2:1200000003527506 |OrdNumL3:1900000003316647 |OrdNumL4:1900000003316649 |M2M:2079.95
2024-May-21 09:17:24 |FINNIFTY24521-21400-21450CE |TRDPARITY:60 |QTY:1 |ParityWas:55 |OpnCls:1 |OrdNumL1:1200000003550725 |OrdNumL2:1200000003551010 |OrdNumL3:1900000003339769 |OrdNumL4:1900000003339770 |M2M:2093.55
2024-May-21 09:17:25 |FINNIFTY24521-21400-21500CE |TRDPARITY:65 |QTY:1 |ParityWas:60 |OpnCls:1 |OrdNumL1:1200000003571970 |OrdNumL2:1200000003572890 |OrdNumL3:1900000003362548 |OrdNumL4:1900000003362549 |M2M:2109.15
2024-May-21 09:17:26 |NIFTY24523-22400-22500CE |TRDPARITY:100 |QTY:2 |ParityWas:100 |OpnCls:1 |OrdNumL1:1000000001014732 |OrdNumL2:1100000001088931 |OrdNumL3:2100000001016628 |OrdNumL4:2000000001013234 |M2M:2134.15
2024-May-21 09:17:27 |NIFTY24523-22400-22500CE |TRDPARITY:110 |QTY:2 |ParityWas:100 |OpnCls:1 |OrdNumL1:1000000001024196 |OrdNumL2:1100000001098564 |OrdNumL3:2100000001025918 |OrdNumL4:2000000001022624 |M2M:2164.15
2024-May-21 09:17:27 |NIFTY24523-22400-22500CE |TRDPARITY:93 |QTY:2 |ParityWas:100 |OpnCls:1 |OrdNumL1:1000000001024728 |OrdNumL2:1100000001099167 |OrdNumL3:2100000001026450 |OrdNumL4:2000000001023299 |M2M:2185.65
2024-May-21 09:17:28 |NIFTY24523-22400-22500CE |TRDPARITY:105 |QTY:2 |ParityWas:100 |OpnCls:1 |OrdNumL1:1000000001034598 |OrdNumL2:1100000001109657 |OrdNumL3:2100000001036850 |OrdNumL4:2000000001034049 |M2M:2213.15
2024-May-21 09:17:29 |NIFTY24523-22400-22500CE |TRDPARITY:115 |QTY:2 |ParityWas:100 |OpnCls:1 |OrdNumL1:1000000001039914 |OrdNumL2:1100000001115581 |OrdNumL3:2100000001043527 |OrdNumL4:2000000001040137 |M2M:2245.65
2024-May-21 09:17:29 |NIFTY24523-22400-22500CE |TRDPARITY:105 |QTY:2 |ParityWas:100 |OpnCls:1 |OrdNumL1:1000000001040833 |OrdNumL2:1100000001116263 |OrdNumL3:2100000001044211 |OrdNumL4:2000000001040803 |M2M:2273.15
2024-May-21 09:17:30 |FINNIFTY24521-21400-21500CE |TRDPARITY:45 |QTY:1 |ParityWas:60 |OpnCls:1 |OrdNumL1:1200000003679533 |OrdNumL2:1200000003680301 |OrdNumL3:1900000003467411 |OrdNumL4:1900000003467412 |M2M:2280.75
