--------------------2024-May-21 07:48:05------------------------------------
--------------------2024-May-21 07:56:21------------------------------------
2024-May-21 09:25:19 |NIFTY24523-22000-22450CE |TRDPARITY:115 |QTY:1 |ParityWas:105 |OpnCls:2 |OrdNumL1:1000000005003933 |OrdNumL2:1000000005004155 |OrdNumL3:2000000005464366 |OrdNumL4:2000000005464367 |M2M:2618.75
2024-May-21 09:27:20 |NIFTY24523-22000-22550CE |TRDPARITY:85 |QTY:1 |ParityWas:80 |OpnCls:2 |OrdNumL1:1000000005872339 |OrdNumL2:1100000006046611 |OrdNumL3:2100000006117885 |OrdNumL4:2000000006474769 |M2M:2615.25
2024-May-21 09:27:53 |NIFTY24MAY-21400-22500CE |TRDPARITY:505 |QTY:1 |ParityWas:150 |OpnCls:2 |OrdNumL1:1200000018055453 |OrdNumL2:1200000018181284 |OrdNumL3:1200000018181291 |OrdNumL4:1200000018181293 |M2M:2690.50
2024-May-21 09:27:55 |NIFTY24523-22000-22500CE |TRDPARITY:60 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1000000006089218 |OrdNumL2:1100000006250365 |OrdNumL3:2100000006344390 |OrdNumL4:2000000006721971 |M2M:2681.25
2024-May-21 09:28:27 |NIFTY24523-22000-22550CE |TRDPARITY:110 |QTY:1 |ParityWas:80 |OpnCls:2 |OrdNumL1:1000000006322475 |OrdNumL2:1100000006480228 |OrdNumL3:2100000006590729 |OrdNumL4:2000000006994725 |M2M:2684.00
2024-May-21 09:28:27 |NIFTY24523-22000-22550CE |TRDPARITY:85 |QTY:1 |ParityWas:80 |OpnCls:2 |OrdNumL1:1000000006322745 |OrdNumL2:1100000006480401 |OrdNumL3:2100000006590960 |OrdNumL4:2000000006994957 |M2M:2680.50
2024-May-21 09:31:43 |NIFTY24523-22000-22550CE |TRDPARITY:90 |QTY:1 |ParityWas:80 |OpnCls:2 |OrdNumL1:1000000007530555 |OrdNumL2:1100000007678309 |OrdNumL3:2100000007858300 |OrdNumL4:2000000008380585 |M2M:2678.25
2024-May-21 09:35:10 |NIFTY24523-23500-22450PE |TRDPARITY:95 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:2100000009156096 |OrdNumL2:2000000009792547 |OrdNumL3:1000000008789313 |OrdNumL4:1100000008938650 |M2M:2660.00
2024-May-21 09:35:10 |NIFTY24523-23500-22500PE |TRDPARITY:90 |QTY:2 |ParityWas:90 |OpnCls:2 |OrdNumL1:2100000009159459 |OrdNumL2:2100000009160015 |OrdNumL3:1100000008938930 |OrdNumL4:1100000008938932 |M2M:2622.00
2024-May-21 09:38:09 |NIFTY24MAY-22300-22600CE |TRDPARITY:217 |QTY:2 |ParityWas:210 |OpnCls:1 |OrdNumL1:1200000030170824 |OrdNumL2:1200000030171607 |OrdNumL3:1200000030171597 |OrdNumL4:1200000030171610 |M2M:2690.50
2024-May-21 09:38:09 |NIFTY24MAY-22300-22500CE |TRDPARITY:410 |QTY:2 |ParityWas:185 |OpnCls:1 |OrdNumL1:1200000030170743 |OrdNumL2:1200000030171162 |OrdNumL3:1200000030171166 |OrdNumL4:1200000030171177 |M2M:2854.00
2024-May-21 09:38:09 |NIFTY24MAY-22300-22550CE |TRDPARITY:175 |QTY:2 |ParityWas:200 |OpnCls:1 |OrdNumL1:1200000030170823 |OrdNumL2:1200000030171592 |OrdNumL3:1200000030171583 |OrdNumL4:1200000030171595 |M2M:2900.50
2024-May-21 09:40:04 |NIFTY24523-23000-22450PE |TRDPARITY:65 |QTY:2 |ParityWas:40 |OpnCls:2 |OrdNumL1:2000000011641214 |OrdNumL2:2000000011641332 |OrdNumL3:1000000010342826 |OrdNumL4:1000000010342829 |M2M:2884.00
2024-May-21 09:40:05 |NIFTY24523-23000-22550PE |TRDPARITY:40 |QTY:2 |ParityWas:40 |OpnCls:2 |OrdNumL1:2000000011649816 |OrdNumL2:2100000010875561 |OrdNumL3:1100000010583255 |OrdNumL4:1000000010349763 |M2M:2856.50
2024-May-21 09:40:05 |NIFTY24523-23000-22500PE |TRDPARITY:65 |QTY:2 |ParityWas:65 |OpnCls:2 |OrdNumL1:2000000011649920 |OrdNumL2:2100000010875604 |OrdNumL3:1100000010583294 |OrdNumL4:1000000010349823 |M2M:2840.50
2024-May-21 09:40:05 |NIFTY24523-23000-22450PE |TRDPARITY:45 |QTY:2 |ParityWas:65 |OpnCls:2 |OrdNumL1:2000000011649925 |OrdNumL2:2000000011650040 |OrdNumL3:1000000010349877 |OrdNumL4:1000000010349878 |M2M:2814.00
2024-May-21 09:40:05 |NIFTY24523-23000-22550PE |TRDPARITY:25 |QTY:2 |ParityWas:40 |OpnCls:2 |OrdNumL1:2000000011649961 |OrdNumL2:2100000010875794 |OrdNumL3:1100000010583539 |OrdNumL4:1000000010350052 |M2M:2779.00
2024-May-21 09:40:05 |NIFTY24523-23000-22500PE |TRDPARITY:50 |QTY:2 |ParityWas:65 |OpnCls:2 |OrdNumL1:2000000011650230 |OrdNumL2:2100000010875850 |OrdNumL3:1100000010583599 |OrdNumL4:1000000010350115 |M2M:2755.50
2024-May-21 09:42:07 |NIFTY24MAY-21900-22500CE |TRDPARITY:415 |QTY:2 |ParityWas:360 |OpnCls:1 |OrdNumL1:1200000034670200 |OrdNumL2:1200000034688546 |OrdNumL3:1200000034688547 |OrdNumL4:1200000034688549 |M2M:2915.00
2024-May-21 09:44:48 |NIFTY24MAY-21950-22500CE |TRDPARITY:385 |QTY:1 |ParityWas:75 |OpnCls:2 |OrdNumL1:1200000036899880 |OrdNumL2:1200000036976673 |OrdNumL3:1200000036976675 |OrdNumL4:1200000036976676 |M2M:2978.00
2024-May-21 09:44:58 |NIFTY24523-21450-22500CE |TRDPARITY:1335 |QTY:2 |ParityWas:310 |OpnCls:1 |OrdNumL1:1000000009775632 |OrdNumL2:1100000011924453 |OrdNumL3:2100000012240680 |OrdNumL4:2000000013099115 |M2M:3597.50
2024-May-21 09:45:28 |NIFTY24523-21450-22500CE |TRDPARITY:930 |QTY:1 |ParityWas:150 |OpnCls:2 |OrdNumL1:1000000011685656 |OrdNumL2:1100000012073179 |OrdNumL3:2100000012395769 |OrdNumL4:2000000013260627 |M2M:3787.75
