--------------------2024-May-21 07:50:05------------------------------------
--------------------2024-May-21 07:56:46------------------------------------
2024-May-21 09:18:06 |BANKNIFTY24522-47500-48200CE |TRDPARITY:130 |QTY:1 |ParityWas:125 |OpnCls:2 |OrdNumL1:1600000001914335 |OrdNumL2:1500000001968138 |OrdNumL3:1700000001994560 |OrdNumL4:1800000001959576 |M2M:1303.35
2024-May-21 09:18:06 |BANKNIFTY24522-47500-48200CE |TRDPARITY:130 |QTY:1 |ParityWas:125 |OpnCls:2 |OrdNumL1:1600000001914343 |OrdNumL2:1500000001968148 |OrdNumL3:1700000001994565 |OrdNumL4:1800000001959586 |M2M:1303.35
2024-May-21 09:18:06 |BANKNIFTY24522-47500-48200CE |TRDPARITY:130 |QTY:1 |ParityWas:125 |OpnCls:2 |OrdNumL1:1600000001914355 |OrdNumL2:1500000001968160 |OrdNumL3:1700000001994581 |OrdNumL4:1800000001959606 |M2M:1303.35
2024-May-21 09:18:08 |BANKNIFTY24522-47500-48200CE |TRDPARITY:130 |QTY:1 |ParityWas:125 |OpnCls:2 |OrdNumL1:1600000001934918 |OrdNumL2:1500000001988583 |OrdNumL3:1700000002015978 |OrdNumL4:1800000001982799 |M2M:1299.30
2024-May-21 09:18:14 |BANKNIFTY24522-47500-48200CE |TRDPARITY:130 |QTY:2 |ParityWas:125 |OpnCls:2 |OrdNumL1:1600000002027028 |OrdNumL2:1500000002077354 |OrdNumL3:1700000002116887 |OrdNumL4:1800000002084591 |M2M:1291.20
2024-May-21 09:18:17 |BANKNIFTY24522-47500-48200CE |TRDPARITY:130 |QTY:1 |ParityWas:125 |OpnCls:2 |OrdNumL1:1600000002058551 |OrdNumL2:1500000002108357 |OrdNumL3:1700000002149785 |OrdNumL4:1800000002118553 |M2M:1287.15
2024-May-21 09:18:22 |BANKNIFTY24522-47500-48000CE |TRDPARITY:135 |QTY:1 |ParityWas:120 |OpnCls:2 |OrdNumL1:1600000002142151 |OrdNumL2:1500000002193010 |OrdNumL3:1700000002243720 |OrdNumL4:1800000002210954 |M2M:1284.45
2024-May-21 09:18:25 |BANKNIFTY24522-47500-48000CE |TRDPARITY:130 |QTY:1 |ParityWas:220 |OpnCls:1 |OrdNumL1:1600000002189405 |OrdNumL2:1500000002240296 |OrdNumL3:1700000002297657 |OrdNumL4:1800000002265154 |M2M:1290.45
2024-May-21 09:18:25 |BANKNIFTY24522-47500-48200CE |TRDPARITY:135 |QTY:1 |ParityWas:210 |OpnCls:1 |OrdNumL1:1600000002189396 |OrdNumL2:1500000002240299 |OrdNumL3:1700000002297659 |OrdNumL4:1800000002265158 |M2M:1290.45
2024-May-21 09:18:25 |BANKNIFTY24522-47500-48100CE |TRDPARITY:140 |QTY:1 |ParityWas:215 |OpnCls:1 |OrdNumL1:1600000002189309 |OrdNumL2:1600000002189721 |OrdNumL3:1800000002265002 |OrdNumL4:1800000002265004 |M2M:1294.65
2024-May-21 09:18:25 |BANKNIFTY24522-47500-48200CE |TRDPARITY:235 |QTY:2 |ParityWas:210 |OpnCls:1 |OrdNumL1:1600000002189383 |OrdNumL2:1500000002240353 |OrdNumL3:1700000002297703 |OrdNumL4:1800000002265281 |M2M:1332.75
2024-May-21 09:18:25 |BANKNIFTY24522-47500-48000CE |TRDPARITY:120 |QTY:2 |ParityWas:220 |OpnCls:1 |OrdNumL1:1600000002189399 |OrdNumL2:1500000002240355 |OrdNumL3:1700000002297706 |OrdNumL4:1800000002265284 |M2M:1333.65
2024-May-21 09:18:25 |BANKNIFTY24522-47500-48100CE |TRDPARITY:50 |QTY:1 |ParityWas:215 |OpnCls:1 |OrdNumL1:1600000002190025 |OrdNumL2:1600000002190522 |OrdNumL3:1800000002265748 |OrdNumL4:1800000002265751 |M2M:1324.35
2024-May-21 09:18:25 |BANKNIFTY24522-47500-48100CE |TRDPARITY:35 |QTY:2 |ParityWas:215 |OpnCls:1 |OrdNumL1:1600000002189376 |OrdNumL2:1600000002189927 |OrdNumL3:1800000002265261 |OrdNumL4:1800000002265272 |M2M:1301.25
2024-May-21 09:18:26 |BANKNIFTY24522-47500-48000CE |TRDPARITY:85 |QTY:1 |ParityWas:120 |OpnCls:2 |OrdNumL1:1600000002194839 |OrdNumL2:1500000002245320 |OrdNumL3:1700000002302525 |OrdNumL4:1800000002270048 |M2M:1291.05
2024-May-21 09:18:26 |BANKNIFTY24522-47500-48100CE |TRDPARITY:35 |QTY:1 |ParityWas:30 |OpnCls:2 |OrdNumL1:1600000002194674 |OrdNumL2:1600000002195297 |OrdNumL3:1800000002270429 |OrdNumL4:1800000002270430 |M2M:1273.20
2024-May-21 09:18:27 |BANKNIFTY24522-47500-48100CE |TRDPARITY:30 |QTY:1 |ParityWas:30 |OpnCls:2 |OrdNumL1:1600000002209674 |OrdNumL2:1600000002209690 |OrdNumL3:1800000002286098 |OrdNumL4:1800000002286099 |M2M:1254.60
2024-May-21 09:18:27 |BANKNIFTY24522-47500-48100CE |TRDPARITY:35 |QTY:1 |ParityWas:30 |OpnCls:2 |OrdNumL1:1600000002210606 |OrdNumL2:1600000002210614 |OrdNumL3:1800000002287036 |OrdNumL4:1800000002287037 |M2M:1236.75
2024-May-21 09:18:29 |BANKNIFTY24522-47100-48200CE |TRDPARITY:225 |QTY:2 |ParityWas:150 |OpnCls:2 |OrdNumL1:1600000002231939 |OrdNumL2:1500000002284412 |OrdNumL3:1700000002343436 |OrdNumL4:1800000002312722 |M2M:1241.85
2024-May-21 09:18:29 |BANKNIFTY24522-47100-48000CE |TRDPARITY:190 |QTY:1 |ParityWas:150 |OpnCls:2 |OrdNumL1:1600000002231940 |OrdNumL2:1500000002284414 |OrdNumL3:1700000002343440 |OrdNumL4:1800000002312724 |M2M:1241.85
2024-May-21 09:18:31 |BANKNIFTY24522-47500-48100CE |TRDPARITY:60 |QTY:1 |ParityWas:30 |OpnCls:2 |OrdNumL1:1600000002263297 |OrdNumL2:1600000002263309 |OrdNumL3:1800000002344714 |OrdNumL4:1800000002344716 |M2M:1227.75
2024-May-21 09:18:46 |BANKNIFTY24522-47500-48200CE |TRDPARITY:130 |QTY:1 |ParityWas:125 |OpnCls:2 |OrdNumL1:1600000002456941 |OrdNumL2:1500000002518199 |OrdNumL3:1700000002608384 |OrdNumL4:1800000002569776 |M2M:1223.70
2024-May-21 09:18:46 |BANKNIFTY24522-47500-48200CE |TRDPARITY:175 |QTY:1 |ParityWas:125 |OpnCls:2 |OrdNumL1:1600000002463775 |OrdNumL2:1500000002525902 |OrdNumL3:1700000002615908 |OrdNumL4:1800000002576890 |M2M:1226.40
2024-May-21 09:18:52 |BANKNIFTY24522-49000-48200PE |TRDPARITY:305 |QTY:1 |ParityWas:270 |OpnCls:1 |OrdNumL1:1700000002695158 |OrdNumL2:1700000002698229 |OrdNumL3:1500000002602003 |OrdNumL4:1500000002602004 |M2M:1253.25
2024-May-21 09:18:54 |BANKNIFTY24522-47500-48200CE |TRDPARITY:130 |QTY:1 |ParityWas:125 |OpnCls:2 |OrdNumL1:1600000002556181 |OrdNumL2:1500000002621275 |OrdNumL3:1700000002719396 |OrdNumL4:1800000002673272 |M2M:1249.20
2024-May-21 09:18:56 |BANKNIFTY24522-47500-48200CE |TRDPARITY:140 |QTY:1 |ParityWas:125 |OpnCls:2 |OrdNumL1:1600000002582639 |OrdNumL2:1500000002649450 |OrdNumL3:1700000002748081 |OrdNumL4:1800000002701364 |M2M:1246.65
2024-May-21 09:18:57 |BANKNIFTY24522-47500-48200CE |TRDPARITY:155 |QTY:1 |ParityWas:125 |OpnCls:2 |OrdNumL1:1600000002600300 |OrdNumL2:1500000002668370 |OrdNumL3:1700000002768749 |OrdNumL4:1800000002721463 |M2M:1246.35
2024-May-21 09:18:57 |BANKNIFTY24522-47500-48200CE |TRDPARITY:160 |QTY:1 |ParityWas:125 |OpnCls:2 |OrdNumL1:1600000002600402 |OrdNumL2:1500000002668438 |OrdNumL3:1700000002768876 |OrdNumL4:1800000002721529 |M2M:1247.25
2024-May-21 09:18:57 |BANKNIFTY24522-47500-48200CE |TRDPARITY:160 |QTY:1 |ParityWas:125 |OpnCls:2 |OrdNumL1:1600000002600450 |OrdNumL2:1500000002668471 |OrdNumL3:1700000002768916 |OrdNumL4:1800000002721565 |M2M:1247.25
2024-May-21 09:18:57 |BANKNIFTY24522-47500-48200CE |TRDPARITY:150 |QTY:1 |ParityWas:125 |OpnCls:2 |OrdNumL1:1600000002600475 |OrdNumL2:1500000002668503 |OrdNumL3:1700000002768943 |OrdNumL4:1800000002721583 |M2M:1242.15
2024-May-21 09:18:57 |BANKNIFTY24522-47500-48200CE |TRDPARITY:130 |QTY:1 |ParityWas:125 |OpnCls:2 |OrdNumL1:1600000002600502 |OrdNumL2:1500000002668525 |OrdNumL3:1700000002768966 |OrdNumL4:1800000002721615 |M2M:1242.15
2024-May-21 09:18:57 |BANKNIFTY24522-47500-48200CE |TRDPARITY:140 |QTY:1 |ParityWas:125 |OpnCls:2 |OrdNumL1:1600000002602141 |OrdNumL2:1500000002670296 |OrdNumL3:1700000002771093 |OrdNumL4:1800000002723654 |M2M:1236.30
2024-May-21 09:18:57 |BANKNIFTY24522-47500-48200CE |TRDPARITY:135 |QTY:1 |ParityWas:125 |OpnCls:2 |OrdNumL1:1600000002602156 |OrdNumL2:1500000002670303 |OrdNumL3:1700000002771100 |OrdNumL4:1800000002723659 |M2M:1236.30
2024-May-21 09:18:57 |BANKNIFTY24522-47500-48200CE |TRDPARITY:85 |QTY:1 |ParityWas:125 |OpnCls:2 |OrdNumL1:1600000002602159 |OrdNumL2:1500000002670315 |OrdNumL3:1700000002771111 |OrdNumL4:1800000002723666 |M2M:1225.50
2024-May-21 09:18:59 |BANKNIFTY24522-47500-48200CE |TRDPARITY:120 |QTY:1 |ParityWas:125 |OpnCls:2 |OrdNumL1:1600000002626690 |OrdNumL2:1500000002696050 |OrdNumL3:1700000002796692 |OrdNumL4:1800000002748278 |M2M:1219.95
2024-May-21 09:18:59 |BANKNIFTY24522-47500-48200CE |TRDPARITY:150 |QTY:1 |ParityWas:125 |OpnCls:2 |OrdNumL1:1600000002627087 |OrdNumL2:1500000002696444 |OrdNumL3:1700000002797038 |OrdNumL4:1800000002748572 |M2M:1218.90
2024-May-21 09:19:03 |BANKNIFTY24522-47500-48200CE |TRDPARITY:130 |QTY:1 |ParityWas:125 |OpnCls:2 |OrdNumL1:1600000002670865 |OrdNumL2:1500000002742958 |OrdNumL3:1700000002845410 |OrdNumL4:1800000002795975 |M2M:1214.85
2024-May-21 09:19:03 |BANKNIFTY24522-47500-48200CE |TRDPARITY:130 |QTY:1 |ParityWas:125 |OpnCls:2 |OrdNumL1:1600000002670961 |OrdNumL2:1500000002743068 |OrdNumL3:1700000002845514 |OrdNumL4:1800000002796098 |M2M:1210.80
2024-May-21 09:19:03 |BANKNIFTY24522-47500-48200CE |TRDPARITY:145 |QTY:1 |ParityWas:125 |OpnCls:2 |OrdNumL1:1600000002671187 |OrdNumL2:1500000002743172 |OrdNumL3:1700000002845661 |OrdNumL4:1800000002796274 |M2M:1209.00
2024-May-21 09:19:03 |BANKNIFTY24522-47500-48200CE |TRDPARITY:140 |QTY:1 |ParityWas:125 |OpnCls:2 |OrdNumL1:1600000002671245 |OrdNumL2:1500000002743272 |OrdNumL3:1700000002845724 |OrdNumL4:1800000002796337 |M2M:1206.45
