--------------------2024-May-21 07:45:05------------------------------------
--------------------2024-May-21 07:57:26------------------------------------
2024-May-21 09:34:26 |FINNIFTY24521-21400-21600CE |TRDPARITY:60 |QTY:2 |ParityWas:70 |OpnCls:1 |OrdNumL1:1200000026200430 |OrdNumL2:1200000026202561 |OrdNumL3:1900000023536860 |OrdNumL4:1900000023536864 |M2M:1492.10
2024-May-21 09:34:27 |FINNIFTY24521-21300-21500CE |TRDPARITY:-285 |QTY:1 |ParityWas:70 |OpnCls:1 |OrdNumL1:1200000026198465 |OrdNumL2:1200000026200160 |OrdNumL3:1900000023533463 |OrdNumL4:1900000023533465 |M2M:1368.90
2024-May-21 09:34:27 |FINNIFTY24521-21300-21400CE |TRDPARITY:-80 |QTY:1 |ParityWas:75 |OpnCls:1 |OrdNumL1:1200000026203233 |OrdNumL2:1200000026205452 |OrdNumL3:1900000023539899 |OrdNumL4:1900000023539900 |M2M:1325.30
2024-May-21 09:34:27 |FINNIFTY24521-21300-21600CE |TRDPARITY:25 |QTY:1 |ParityWas:90 |OpnCls:1 |OrdNumL1:1200000026202819 |OrdNumL2:1200000026204830 |OrdNumL3:1900000023539499 |OrdNumL4:1900000023539501 |M2M:1324.90
2024-May-21 09:34:27 |FINNIFTY24521-21300-21500CE |TRDPARITY:175 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000026204184 |OrdNumL2:1200000026209799 |OrdNumL3:1900000023544385 |OrdNumL4:1900000023544386 |M2M:1380.10
2024-May-21 09:34:27 |FINNIFTY24521-21300-21400CE |TRDPARITY:20 |QTY:1 |ParityWas:75 |OpnCls:1 |OrdNumL1:1200000026210130 |OrdNumL2:0 |OrdNumL3:1900000023547121 |OrdNumL4:1900000023547123 |M2M:1376.50
2024-May-21 09:34:27 |FINNIFTY24521-21300-21400CE |TRDPARITY:120 |QTY:2 |ParityWas:75 |OpnCls:1 |OrdNumL1:1200000026212643 |OrdNumL2:1200000026213814 |OrdNumL3:1900000023548106 |OrdNumL4:1900000023548107 |M2M:1449.30
2024-May-21 09:34:27 |FINNIFTY24521-21300-21600CE |TRDPARITY:120 |QTY:1 |ParityWas:90 |OpnCls:1 |OrdNumL1:1200000026211983 |OrdNumL2:1200000026213780 |OrdNumL3:1900000023548048 |OrdNumL4:1900000023548051 |M2M:1714.10
2024-May-21 09:34:27 |FINNIFTY24521-21300-21600CE |TRDPARITY:310 |QTY:2 |ParityWas:90 |OpnCls:1 |OrdNumL1:1200000026212642 |OrdNumL2:1200000026213795 |OrdNumL3:1900000023548087 |OrdNumL4:1900000023548092 |M2M:1714.10
2024-May-21 09:34:27 |FINNIFTY24521-21300-21500CE |TRDPARITY:-20 |QTY:1 |ParityWas:70 |OpnCls:1 |OrdNumL1:1200000026215049 |OrdNumL2:1200000026216710 |OrdNumL3:1900000023551082 |OrdNumL4:1900000023551085 |M2M:1696.90
