--------------------2024-May-21 07:50:07------------------------------------
2024-May-21 10:26:04 |NIFTY24523-22200-22450CE |TRDPARITY:50 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1000000021657381 |OrdNumL2:1000000021657523 |OrdNumL3:2000000024147997 |OrdNumL4:2000000024148000 |M2M:1496.25
2024-May-21 10:27:26 |NIFTY24523-22200-22450CE |TRDPARITY:70 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:1000000021944363 |OrdNumL2:1000000021944682 |OrdNumL3:2000000024430111 |OrdNumL4:2000000024430112 |M2M:1496.75
2024-May-21 10:28:59 |NIFTY24523-22000-22450CE |TRDPARITY:55 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1000000022202885 |OrdNumL2:1000000022202919 |OrdNumL3:2000000024704178 |OrdNumL4:2000000024704179 |M2M:1487.50
2024-May-21 10:29:41 |NIFTY24523-22200-22450CE |TRDPARITY:60 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1000000022311776 |OrdNumL2:1000000022311983 |OrdNumL3:2000000024826552 |OrdNumL4:2000000024826553 |M2M:1485.50
2024-May-21 10:30:12 |NIFTY24523-22200-22450CE |TRDPARITY:45 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1000000022393449 |OrdNumL2:1000000022393685 |OrdNumL3:2000000024917373 |OrdNumL4:2000000024917377 |M2M:1479.75
2024-May-21 10:31:12 |NIFTY24523-22200-22450CE |TRDPARITY:55 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1000000022543155 |OrdNumL2:1000000022543188 |OrdNumL3:2000000025083500 |OrdNumL4:2000000025083501 |M2M:1476.50
2024-May-21 10:32:58 |NIFTY24523-22200-22450CE |TRDPARITY:65 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1000000022925812 |OrdNumL2:1000000022926233 |OrdNumL3:2000000025451337 |OrdNumL4:2000000025451342 |M2M:1475.75
2024-May-21 10:33:53 |NIFTY24523-22200-22450CE |TRDPARITY:55 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1000000023109048 |OrdNumL2:1000000023109252 |OrdNumL3:2000000025638156 |OrdNumL4:2000000025638157 |M2M:1473.00
2024-May-21 10:33:54 |NIFTY24523-22200-22450CE |TRDPARITY:60 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1000000023112673 |OrdNumL2:1000000023112689 |OrdNumL3:2000000025641550 |OrdNumL4:2000000025641551 |M2M:1471.50
2024-May-21 10:35:02 |NIFTY24523-22200-22550CE |TRDPARITY:65 |QTY:1 |ParityWas:70 |OpnCls:2 |OrdNumL1:1000000023330574 |OrdNumL2:1100000024205461 |OrdNumL3:2100000024703956 |OrdNumL4:2000000025877795 |M2M:1470.25
2024-May-21 10:41:06 |NIFTY24523-22200-22450CE |TRDPARITY:70 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1000000024164708 |OrdNumL2:1000000024165123 |OrdNumL3:2000000026801222 |OrdNumL4:2000000026801223 |M2M:1471.25
2024-May-21 10:41:19 |NIFTY24523-22200-22450CE |TRDPARITY:60 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1000000024200363 |OrdNumL2:1000000024200369 |OrdNumL3:2000000026840666 |OrdNumL4:2000000026840668 |M2M:1469.75
2024-May-21 10:41:32 |NIFTY24523-22200-22450CE |TRDPARITY:55 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1000000024237984 |OrdNumL2:1000000024237987 |OrdNumL3:2000000026883561 |OrdNumL4:2000000026883562 |M2M:1467.00
2024-May-21 10:42:41 |NIFTY24523-22000-22450CE |TRDPARITY:55 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1000000024361677 |OrdNumL2:1000000024366985 |OrdNumL3:2000000027026096 |OrdNumL4:2000000027026097 |M2M:1458.25
2024-May-21 10:44:12 |NIFTY24523-22200-22450CE |TRDPARITY:60 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1000000024563333 |OrdNumL2:1000000024563417 |OrdNumL3:2000000027244325 |OrdNumL4:2000000027244326 |M2M:1456.75
2024-May-21 10:44:36 |NIFTY24MAY-22800-22550PE |TRDPARITY:110 |QTY:2 |ParityWas:95 |OpnCls:2 |OrdNumL1:1200000084398688 |OrdNumL2:1200000084399155 |OrdNumL3:1200000084399160 |OrdNumL4:1200000084399164 |M2M:1486.25
2024-May-21 10:44:36 |NIFTY24MAY-22800-22500PE |TRDPARITY:140 |QTY:2 |ParityWas:95 |OpnCls:2 |OrdNumL1:1200000084398691 |OrdNumL2:1200000084399167 |OrdNumL3:1200000084399170 |OrdNumL4:1200000084399172 |M2M:1486.25
2024-May-21 10:44:36 |NIFTY24MAY-22800-22500PE |TRDPARITY:102 |QTY:2 |ParityWas:95 |OpnCls:2 |OrdNumL1:1200000084399267 |OrdNumL2:1200000084400324 |OrdNumL3:1200000084400332 |OrdNumL4:1200000084400336 |M2M:1488.75
2024-May-21 10:44:38 |NIFTY24523-22000-22450CE |TRDPARITY:70 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1000000024622507 |OrdNumL2:1000000024622772 |OrdNumL3:2000000027312254 |OrdNumL4:2000000027312256 |M2M:1483.75
2024-May-21 10:44:44 |NIFTY24523-22000-22450CE |TRDPARITY:55 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1000000024634369 |OrdNumL2:1000000024634511 |OrdNumL3:2000000027325594 |OrdNumL4:2000000027325596 |M2M:1475.00
2024-May-21 10:45:05 |NIFTY24MAY-22800-22500PE |TRDPARITY:130 |QTY:2 |ParityWas:95 |OpnCls:2 |OrdNumL1:1200000084674502 |OrdNumL2:1200000084674806 |OrdNumL3:1200000084674809 |OrdNumL4:1200000084674811 |M2M:1491.50
2024-May-21 10:45:05 |NIFTY24MAY-22800-22500PE |TRDPARITY:120 |QTY:2 |ParityWas:95 |OpnCls:2 |OrdNumL1:1200000084674893 |OrdNumL2:1200000084676516 |OrdNumL3:1200000084676522 |OrdNumL4:1200000084676539 |M2M:1503.00
2024-May-21 10:45:05 |NIFTY24MAY-22800-22500PE |TRDPARITY:125 |QTY:2 |ParityWas:95 |OpnCls:2 |OrdNumL1:1200000084676608 |OrdNumL2:1200000084678691 |OrdNumL3:1200000084678697 |OrdNumL4:1200000084678703 |M2M:1517.00
2024-May-21 10:45:05 |NIFTY24MAY-22800-22600PE |TRDPARITY:115 |QTY:2 |ParityWas:90 |OpnCls:2 |OrdNumL1:1200000084678687 |OrdNumL2:1200000084678897 |OrdNumL3:1200000084678900 |OrdNumL4:1200000084678905 |M2M:1528.50
2024-May-21 10:45:29 |NIFTY24523-22200-22450CE |TRDPARITY:60 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1000000024811331 |OrdNumL2:1000000024811462 |OrdNumL3:2000000027512216 |OrdNumL4:2000000027512217 |M2M:1527.00
2024-May-21 10:45:48 |NIFTY24MAY-22800-22500PE |TRDPARITY:100 |QTY:2 |ParityWas:95 |OpnCls:2 |OrdNumL1:1200000085179543 |OrdNumL2:1200000085179569 |OrdNumL3:1200000085179571 |OrdNumL4:1200000085179572 |M2M:1528.50
2024-May-21 10:45:48 |NIFTY24MAY-22800-22500PE |TRDPARITY:90 |QTY:2 |ParityWas:95 |OpnCls:2 |OrdNumL1:1200000085179696 |OrdNumL2:1200000085179723 |OrdNumL3:1200000085179730 |OrdNumL4:1200000085179731 |M2M:1525.00
2024-May-21 10:45:48 |NIFTY24MAY-22800-22500PE |TRDPARITY:105 |QTY:2 |ParityWas:95 |OpnCls:2 |OrdNumL1:1200000085183458 |OrdNumL2:1200000085183459 |OrdNumL3:1200000085183460 |OrdNumL4:1200000085183461 |M2M:1533.00
2024-May-21 10:45:48 |NIFTY24MAY-22800-22500PE |TRDPARITY:105 |QTY:2 |ParityWas:95 |OpnCls:2 |OrdNumL1:1200000085183471 |OrdNumL2:1200000085183472 |OrdNumL3:1200000085183473 |OrdNumL4:1200000085183474 |M2M:1533.00
2024-May-21 10:45:48 |NIFTY24MAY-22800-22500PE |TRDPARITY:95 |QTY:2 |ParityWas:95 |OpnCls:2 |OrdNumL1:1200000085183484 |OrdNumL2:1200000085183487 |OrdNumL3:1200000085183489 |OrdNumL4:1200000085183491 |M2M:1532.00
